rssdid,bhcid,date,name
17932,1073757,19841231,NCNB NB OF FLORIDA
17950,1122310,20200331,BANK OF BRIDGER NA
17978,0,20200331,ELIZABETHTON FSB
18032,1239487,19790331,ROYAL TR BK OF SOUTH DADE NA
18050,2410304,20200331,FIRST NB
18078,3555341,20070331,ENCORE BK NA
18126,2873682,20020930,THREE RIVERS B&TC
18135,1889547,20191231,SOUTH CENT BK NA
18144,1093728,19980331,CITIZENS BK
18153,1249440,19940331,FIRST CMRC SVG
18201,1246560,19900630,FIRST AMERICAN BK FOR SVG
18256,1199479,19951231,FIRSTAR BK MINOCQUA
18313,1117419,19981231,FIRST LEHIGH BK
18368,1029576,20060930,BANK OF WALNUT CREEK
18377,0,20170331,BALLY SVG BK
18452,1061941,19910930,FIRST ST BK OF LYMAN
18630,1073551,19870930,FIRST UNION BK VIDALIA
18658,1128358,19930630,FIRST ST BK OF GILMAN
18667,0,19910331,ISLAND ST BK
18751,1249338,19880630,FIRST CITY BK-WESTWOOD NA
18827,2264404,20200331,NEXTIER BK NA
18836,1131750,20200331,CAPON VALLEY BK
18854,3256134,20200331,BANK7
18863,2853666,20031231,BUSINESS BK OF CA
18920,1887169,19840331,ROUND HILL NB
18957,1050833,20120630,FIRST ST BK OF BURLINGAME
19048,0,19761231,FARMERS & TRADERS BK
19057,1061642,19920630,LAWRENCE NB&TC
19105,0,19900331,ELIOT SVG BK
19150,1126028,19960630,GOODHUE ST BK
19169,1102125,19890930,BANK OF COMMERCE CALHOUN COUNT
19253,0,19870331,FIRST COMMERCIAL BK OF TX NA
19356,2410603,20200331,SECURITY B&TC
19365,1136531,19940930,WESTCAL NB
19422,1074875,19831231,CENTRAL FIDELITY BK NA
19440,1208661,19980930,AMCORE BK ARGYLE
19459,1056602,19950930,BURDETT ST BK
19534,1076776,19970630,BARNETT BK OF SOUTHEAST GA NA
19543,1199844,19891231,COMERICA BK-BATTLE CREEK
19561,0,19850630,BUSINESS BKG CORP
19637,1231940,19781231,MIAMI LAKES FIRST ST BK
19655,1104192,19871231,FIRST AMERICAN B&TC
19730,1245590,20161231,STANDARD B&TC
19749,1096439,20000630,BANK OF NORTH ARKANSAS
19860,1202799,20000630,FOUNDERS BK OF ARIZONA
19936,1976625,20200331,CITIZENS BK OF AMER
19945,1205295,19861231,SECURITY NB
19963,1029437,19890630,BANK OF ALEX BROWN
19972,0,20200331,FARMERS BLDG & SVG BK
20044,1199705,19860930,AMERICAN NB&TC OF MI
20053,1128497,20200331,SECURITY BK
20110,1117781,19970630,FIRST NB&TC
20147,3823657,20090331,FARMERS ST BK
20259,1120754,20080930,FIRST ST BK
20334,0,19850630,BANK OF LORETTO
20343,1201475,19881231,INDIANA NA OVERSEAS CORP
20370,0,20110331,FIRST HERITAGE BK
