,original_index,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,CLUSTER,IMPUTED,,
5502,5502,198210001,1,B0031,ABDULMOHSEN ABDULAZIZ AL-BABTAIN CO,ABDULMOHSEN ABDULAZIZ ALBABTAIN CO,,KUWAIT,KWT,K64,1769,0,,
12161,12161,198805031,1,B0032,ABE INTERNATIONAL VENTURES CORP HOLDING (HK),ABE INTERNATIONAL VENTURES CORP HOLDING HK,,HONG KONG,HKG,Unknown,1386,1,,
6627,6627,198401008,1,B0033,ABITIBI-PRICE REFINANCE INC,ABITIBIPRICE REFINANCE INC,,CANADA,CAN,C17,8416,1,,
12598,12598,198809016,1,B0033,ABITIBI-PRICE REFINANCE,ABITIBIPRICE REFINANCE,,CANADA,CAN,C17,7846,0,,
2026,2026,197903001,1,B0034,ABU DHABI DRILLING CHEMICALS AND PRODUCTS,ABU DHABI DRILLING CHEMICALS PRODUCTS,,,Unknown,Unknown,6881,3,,
1658,1658,197809002,1,B0035,ABU DHABI GAS LIQUEFACTION CO LIMITED,ABU DHABI GAS LIQUEFACTION CO LIMITED,,UAE,ARE,B06,1623,0,,
1696,1696,197810001,1,B0035,ABU DHABI GAS LIQUEFACTION COMPANY LTD,ABU DHABI GAS LIQUEFACTION COMPANY LTD,,UAE,ARE,B06,5787,0,,
6446,6446,198311001,1,B0035,ABU DHABI GAS LIQUEFACTION CO,ABU DHABI GAS LIQUEFACTION CO,,ABU DHABI,ARE,C19,1624,0,,
9411,9411,198608001,1,B0035,ABU DHABI GAS LIQUIFICATION COMPANY LTD,ABU DHABI GAS LIQUIFICATION COMPANY LTD,ADGAS,ABU DHABI,ARE,C19,5788,0,,
1952,1952,197902001,1,B0036,ABU DHABI MARINE AREAS,ABU DHABI MARINE AREAS,,,Unknown,Unknown,6880,3,,
6908,6908,198405001,1,B0037,ABU DHABI NATIONAL OIL TANKER CO,ABU DHABI NATIONAL OIL TANKER CO,,ABU DHABI,ARE,C19,3422,0,,
7792,7792,198503001,1,B0037,ABU DHABI NATIONAL OIL TANKER CO,ABU DHABI NATIONAL OIL TANKER CO,ADNOTCO,ABU DHABI,ARE,C19,3422,0,,
2970,2970,198005001,1,B0038,ABU DHABI PETROLEUM PORTS OPERATING CO,ABU DHABI PETROLEUM PORTS OPERATING CO,ADPPOC,UNITED ARAB EMIRATES (THE),ARE,C19,1687,0,,
317,317,197501001,1,B0039,ABU DHABI TELEGRAPH AND TELEPHONE COMPANY LIMITED,ABU DHABI TELEGRAPH TELEPHONE COMPANY LIMITED,,UNITED ARAB EMIRATES (THE),ARE,J61,3061,0,,
5707,5707,198212001,1,B0040,ABU ZAABAL FERTILIZER AND CHEMICAL CO,ABU ZAABAL FERTILIZER CHEMICAL CO,,EGYPT,EGY,C20,1721,0,,
7020,7020,198406020,1,B0041,ACCIAIERIE FERRERO SPA,ACCIAIERIE FERRERO SPA,,ITALY,ITA,Unknown,5001,1,,
12959,12959,198811032,1,B0042,ACCOR,ACCOR,,FRANCE,FRA,I55,7600,0,,
13860,13860,198909011,1,B0043,ACE MANAGEMENT INVENTURES COMPANY,ACE MANAGEMENT INVENTURES COMPANY,,BELGIUM,BEL,K64,3124,0,,
6597,6597,198312026,1,B0044,ACERIALES,ACERIALES,,SPAIN,ESP,Unknown,7523,1,,
3453,3453,198101001,1,B0045,ACERIAS PAZ DEL RIO,ACERIAS PAZ DEL RIO,,COLOMBIA,COL,C32,4395,0,,
4354,4354,198111002,1,B0045,ACERIAS PAZ DEL RIO,ACERIAS PAZ DEL RIO,,COLOMBIA,COL,C32,4395,0,,
1912,1912,197901002,1,B0046,ACERLAN SA DE CV,ACERLAN SA DE CV,,,Unknown,Unknown,668,3,,
570,570,197601001,1,B0047,ACEROS DE LLODIO S.A.,ACEROS DE LLODIO SA,,SPAIN,ESP,G47,687,0,,
13374,13374,198902055,1,B0048,ACFC CORPORATE FINANCE,ACFC CORPORATE FINANCE,,UNITED KINGDOM,GBR,K64,2134,0,,
5527,5527,198210025,2,B0049,ACI RESOURCES LTD,ACI RESOURCES LTD,,AUSTRALIA,AUS,K64,2413,1,,
6314,6314,198308002,1,B0049,ACI RESOURCES LTD,ACI RESOURCES LTD,,AUSTRALIA,AUS,P85,2413,0,,
6620,6620,198401001,1,B0049,ACI COAL LTD,ACI COAL LTD,,AUSTRALIA,AUS,K64,2705,1,,
10476,10476,198704001,1,B0049,ACI INTERNATIONAL LTD,ACI INTERNATIONAL LTD,,AUSTRALIA,AUS,K64,1353,0,,
10838,10838,198707002,1,B0049,ACI INTERNATIONAL LTD,ACI INTERNATIONAL LTD,,AUSTRALIA,AUS,K64,1353,0,,
11298,11298,198710004,1,B0049,ACI FINANCE LTD,ACI FINANCE LTD,,AUSTRALIA,AUS,K64,1995,0,,
727,727,197607007,1,B0050,INDUSTRIE ARGENTINA DE ACEROS SA,INDUSTRIE ARGENTINA DE ACEROS SA,,URUGUAY,URY,C32,665,0,,
2094,2094,197904001,1,B0051,ACO SA,ACO SA,,,GBR,C32,4580,3,,
3116,3116,198008001,1,B0051,ACO,ACO,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,C32,7926,0,,
13084,13084,198812013,1,B0053,BACOB (DELAWARE),BACOB DELAWARE,,BELGIUM,BEL,Unknown,7769,1,,
5630,5630,198211003,1,B0054,ACOM CO LTD,ACOM CO LTD,,JAPAN,JPN,K64,1859,0,,
9324,9324,198607048,1,B0054,ACOM CO LTD,ACOM CO LTD,,JAPAN,JPN,K64,1859,0,,
9608,9608,198609062,1,B0054,ACOM CO LTD,ACOM CO LTD,,JAPAN,JPN,K64,1859,0,,
11176,11176,198709092,1,B0054,ACOM CO,ACOM CO,,JAPAN,JPN,K64,1828,0,,
12656,12656,198809067,1,B0054,ACOM CO,ACOM CO,,JAPAN,JPN,K64,1828,0,,
13354,13354,198902037,1,B0054,ACOM COMPANY,ACOM COMPANY,,JAPAN,JPN,K64,3208,0,,
1124,1124,197709001,1,B0055,ACO MINAS GERAIS SA-ACOMINAS,ACO MINAS GERAIS SAACOMINAS,,BRAZIL,BRA,C24,616,1,,
3317,3317,198011002,1,B0055,ACO MINAS GERAIS SA,ACO MINAS GERAIS SA,ACOMINAS,BRAZIL,BRA,C32,618,0,,
5025,5025,198205004,1,B0055,ACO MINAS GRAIS SA,ACO MINAS GRAIS SA,,BRAZIL,BRA,C24,619,0,,
5629,5629,198211002,1,B0055,ACO MINAS GERAIS,ACO MINAS GERAIS,,BRAZIL,BRA,C24,617,0,,
13906,13906,198909057,1,B0056,ACORN BUSINESS PARK,ACORN BUSINESS PARK,,UNITED KINGDOM,GBR,Unknown,6995,1,,
269,269,197401266,1,B0057,"ACOS ANHANGUERA SA, BRAZIL",ACOS ANHANGUERA SA BRAZIL,,BRAZIL,BRA,Unknown,4650,1,,
8414,8414,198509049,1,B0059,ACTIVE CONSTRUCTION & ENGINEERING PTE LTD,ACTIVE CONSTRUCTION ENGINEERING PTE LTD,,SINGAPORE,SGP,Unknown,3260,1,,
8370,8370,198509005,5,B0060,ADASTON PTY LTD,ADASTON PTY LTD,,AUSTRALIA,AUS,Unknown,2622,1,,
163,163,197401160,1,B0061,"ADELA INVESTMENT COMPANY S.A., LUXEMBOURG",ADELA INVESTMENT COMPANY SA LUXEMBOURG,,LUXEMBOURG,LUX,K64,5819,0,,
382,382,197505001,1,B0061,ADELA INTERNATIONAL FINANCING COMPANY SA,ADELA INTERNATIONAL FINANCING COMPANY SA,,LUXEMBOURG,LUX,U99,1510,0,,
