,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
10086,198701040,1,B5039,SOCIETA ITALIANA PER L'ESERCIZIO TELEFONICO PA,SIP,ITALY,ITA,J61,,,0
10087,198701041,1,B5039,SCOCIETA ITALIANA PER L'ESERCIZIO TELEFONICO,,ITALY,ITA,J61,,,0
10088,198701042,1,B1307,CHUO TRUST & BANKING CO,,JAPAN,JPN,K64,,,0
10089,198701043,1,B2321,FUJI BANK,,JAPAN,JPN,K64,,,0
10090,198701044,1,B3506,LTCB,,JAPAN,JPN,K64,,,0
10091,198701045,1,B3772,MITSUBISHI BANK,,JAPAN,JPN,K64,,,0
10092,198701046,1,B6027,YAMAHA MOTOR INTERNATIONAL FINANCE BV,,JAPAN,JPN,K64,,,0
10093,198701047,1,B1682,DAEWOO CORP,,KOREA,KOR,C32,,,0
10094,198701048,1,B2864,HYUNDAI ENGINEERING & CONSTRUCTION COMPANY,,KOREA,KOR,F41,,,0
10095,198701049,1,B5374,SUNKYONG INTERNATIONAL INC,,KOREA,KOR,C20,,,0
10096,198701050,1,B1426,COMMERCIAL FACILITIES CO,,KOREA,KOR,K64,,,0
10097,198701051,1,B3554,MALAWI DEVELOPMENT CORPORATION,,MALAWI,MWI,O84,,,0
10098,198701052,1,B4331,PERBADANAN NASIONAL BERHAD,,MALAYSIA,MYS,O84,,,0
10099,198701053,1,B4266,PARENCO BV,,NETHERLANDS,NLD,C17,,,0
10100,198701054,1,B4603,RABOBANK NEDERLAND,,NETHERLANDS,NLD,K64,,,0
10101,198701055,1,B5328,STICHTING NUTSSPAARBANK DEN HAAG,,NETHERLANDS,NLD,K64,,,0
10102,198701056,1,B0706,BANK OF NEW ZEALAND,,NEW ZEALAND,NZL,K64,,,0
10103,198701057,1,B1251,CHASE CORPORATION FINANCE BV,,NEW ZEALAND,NZL,K64,,,0
10104,198701058,1,B2259,FLETCHER CHALLENGE FINANCE (OVERSEAS) LTD,,NEW ZEALAND,NZL,C19,,,0
10105,198701059,1,B2501,NEW ZEALAND,,NEW ZEALAND,NZL,O84,,,0
10106,198701060,1,B1746,DEN NORSKE STATE OLIESELSKAP A/S,,NORWAY,NOR,B06,,,0
10107,198701061,1,B2292,FORRETNINGSBANKEN,,NORWAY,NOR,K64,,,0
10108,198701062,1,B4039,NORSK DATA A/S,,NORWAY,NOR,C26,,,0
10109,198701063,1,B5257,SPAREBANKEN SOR,,NORWAY,NOR,K64,,,0
10110,198701064,1,B5316,STATOIL,,NORWAY,NOR,B06,,,0
10111,198701065,1,B5709,UNION BANK OF NORWAY INTERNATIONAL,,NORWAY,NOR,K64,,,0
10112,198701066,1,B3707,BANCO ESPIRITO SANTO E COMMERCIAL DE LISBOA,,PORTUGAL,PRT,K64,,,0
10113,198701067,1,B0648,BANCO PORTUGUES DE INVESTIMENTO SARL,,PORTUGAL,PRT,K64,,,0
10114,198701068,1,B1968,EMPRESA DE POLIMEROS DE SINES,EPSI,PORTUGAL,PRT,C22,,,0
